Russian	English	Issues	Sources
внутриматочная спираль	iud	possibly_incomplete	my_glossary
отделение интенсивной терапии	icu	possibly_incomplete	my_glossary
петлевая эксцизия шейки матки	leep	possibly_incomplete	my_glossary
повышенное газообразование	gas	possibly_incomplete	my_glossary
радионуклидная ангиография	muga	possibly_incomplete	my_glossary
синдром внезапной детской смерти	sids	possibly_incomplete	my_glossary
чрескожная транслюминальная коронарная ангиопластика	ptca	possibly_incomplete	my_glossary
